Age,CO2
40.169,1628.614284
40.244,956.7076931
40.2502,953.1860649
40.25063673,1119.992225
40.3,830.0771802
40.309,975.0092245
40.338,1135.770903
40.378,949.8792834
40.3941,978.5173421
40.517,1009.913597
40.5172,950.6721138
40.629,1090.794788
40.6489,922.4658832
40.81,1068.30683
40.91779927,1008.529836
40.921,963.2973512
40.933,1059.967249
41.0123,1121.61186
41.13,908.9821114
41.46775757,1079.021068
41.53,927.9164991
41.796,910.814567
42.38735997,1014.90958
43.06804607,1048.051924
43.06804607,1080.018899
43.38359592,981.2019555
43.74422431,1163.207981
43.763,1106.521529
44.4,953.3103187
44.53760678,1135.165644
44.825,1042.501741
44.87344197,1081.801786
44.87344197,1109.937133
44.87344197,1010.266491
44.87344197,948.376507
45.20476931,1062.449583
45.20476931,1141.870742
45.6,1065.699295
45.701,963.7753953
45.75360065,1073.534324
46.31708252,1089.590695
46.571,1089.797316
46.65517164,1067.578235
47.33134988,1102.201245
47.496,1319.050228
48.01541686,1106.334867
48.01541686,1171.217638
48.11247635,1266.008637
48.137,1561.771009
49.001,1456.791378
49.13449185,1290.179879
49.81855884,1247.152756
49.831,1188.968046
49.99074173,1545.638814
49.99074173,1495.264702
50.54161453,1995.653909
50.59376144,1929.84207
50.60324097,1972.821072
50.60324097,2125.064722
50.62220383,1963.395781
50.68301392,1739.169946
50.705,1236.232977
50.856,1151.248799
51.28852463,1794.502645
51.60489273,1377.457445
51.63147354,1464.871721
51.63147354,1584.898175
51.65806198,1715.60084
51.65806198,1632.11385
51.65806198,1609.535196
51.71123123,1874.657036
51.98,1271.816427
51.98,1118.607225
52.88166428,1407.612685
52.88166428,1180.521347
53.2,1203.656156
53.628,1085.887846
53.87147141,1125.397982
53.96301491,1010.012881
53.96925737,815.3733186
54.00784488,1003.531221
54.0380891,1214.186845
54.04412286,1115.380411
54.04774312,932.7602031
54.0499716,872.4516843
54.05075207,951.258625
54.05153255,965.501409
54.05257318,855.9932924
54.05413413,779.5176934
54.06041119,721.4316563
54.08030234,784.6116561
54.678,769.7741634
55.08631579,929.7195513
55.50567367,1176.277807
55.53456256,1160.119492
55.541,911.7129481
55.55122923,1215.041665
55.60234034,1074.394847
55.62400701,1335.49875
55.63456256,1209.234185
55.65366197,982.7571628
55.65456256,959.1177932
55.67678478,974.6406041
55.70234034,912.2971316
55.72345145,993.2338303
55.7478959,1060.640508
55.76086047,998.7002822
55.76900701,1010.32022
55.789,977.0743296
55.79011812,1181.184342
55.79383721,1138.551301
55.79574468,980.6621637
55.81128902,974.0853491
55.8187234,862.4699339
55.83245992,1222.40029
55.84694527,1207.768208
55.85251656,1474.116945
55.85954181,975.1488961
55.86180851,834.5246178
55.86659574,967.4008168
55.86755319,1153.80777
55.87233742,1149.526464
55.88886397,1074.418719
55.90323604,1123.866659
55.9075,1694.582684
55.9075,1233.033851
55.92001652,1107.205572
55.92354167,1172.311752
55.93041667,1394.219539
55.93270833,1383.106242
55.93425263,1121.463411
55.93575,1083.974938
55.93873239,947.6937654
55.94216934,1083.477357
55.94645833,1713.976983
55.94876626,1415.047931
55.95230769,1681.955704
55.95230769,1689.582206
55.95536419,988.1464784
55.95912,1464.270567
55.96328091,1484.424821
55.96961538,1284.385516
55.99269231,1633.983237
55.99269231,1441.334934
55.99316075,1790.405701
55.99380282,2624.970091
56.00357567,1270.416326
56.00423077,1645.739022
56.00423077,1660.510768
56.005,1477.761347
56.01363698,1431.93415
56.01872533,872.2091663
56.021,997.2752006
56.02167568,958.4715268
56.025,872.9881975
